Time,Comment,Scramble,Date
17.034355998039246,"",B' R2 F2 D2 L2 D2 L2 B R2 B' R' B2 U B2 L' D2 U L U',2025-01-19 14:27:38 +0000
20.50088405609131,"",B' U' B' D2 L' D2 L F2 U2 F2 D' L' D2 U F' D B2 F,2025-01-19 17:18:46 +0000
21.402450919151306,"",R' F2 D2 B2 D' F2 D F2 R' B' F U2 F' L B2 L2 D' U',2025-01-20 13:03:12 +0000
24.537400007247925,"",D F2 D2 L2 U' B2 L2 D F' L' R' D' F' U R B2 D2 B2 L,2025-01-27 11:09:34 +0000
20.45763099193573,"",D R2 F' U2 B' R2 U2 B U2 F R' U' R B F L B2 F2 U2,2025-01-09 12:01:29 +0000
21.00105595588684,"",D' R' U' F' B2 L U L D2 F2 R2 D2 R D2 B2 R2 U,2025-01-17 12:10:52 +0000
18.4673810005188,"",L B2 L B L2 B' U' F' L' B' D B2 L U2 L U2 R2 F2,2025-01-20 11:23:50 +0000
30.06555998325348,"",F' B2 D2 L2 F2 L2 U L2 F2 U2 L' F D' L2 R' U R2 D' L2,2025-01-21 11:12:23 +0000
18.933831930160522,"",F' R U2 R2 D2 F2 L' R2 F2 U2 R F' D' L R D L2 U R D',2025-01-27 13:13:48 +0000
18.333701968193054,"",D' F' U2 B' D2 U2 R2 U2 F' U' L' F' L' R' D2 F U2 R' F2,2025-01-21 11:23:49 +0000
24.86713993549347,"",F' L B' U R2 F' U R F2 R F U' R2 F2 U' D2 L2 D,2025-01-28 11:28:35 +0000
29.959910035133362,"",D2 F2 D2 R2 D2 F' L2 F R2 L' B' D2 F' U' F2 D B2 L F',2025-01-21 16:15:57 +0000
25.471004009246826,"",D' F' D2 B2 R2 U' B2 D L B2 R2 F R2 B' L2 D2 B2 R2 L U2,2025-01-28 14:48:23 +0000
21.260623931884766,"",B' R2 F' D' B2 F' U2 L2 B2 F' D2 L2 D L R U B' F' U',2025-01-09 12:14:31 +0000
21.36923897266388,"",F' D R2 L D2 B R' U2 F L2 U' F2 R2 U2 F2 R F2 U2 F2,2025-01-19 13:42:17 +0000
28.56919300556183,"",F' R B2 R' F2 R2 B2 U F L2 F' L' U L F2 U2 L2,2025-01-23 12:05:27 +0000
34.718652963638306,"",D2 R B L2 U2 D2 B' L' F R2 F2 D' B2 U' D' R' U',2025-01-29 07:50:02 +0000
23.202800035476685,"",F2 U' F2 L2 U' F2 L2 B2 R2 D' U2 B' R U B' U2 B F L' D2,2025-01-10 12:12:32 +0000
25.20061492919922,"",R B2 U2 F2 R' U2 L' F2 R2 D L B2 R' F2 U' F2 D2 B L2,2025-01-19 16:12:33 +0000
19.496775031089783,"",R2 F R B' D' L' F B2 D' R U2 R2 D2 L' D2 B2 L' U2 B2 U2,2025-01-19 11:39:44 +0000
20.73448407649994,"",B R F2 L2 B L2 B D2 L2 F' L2 D2 L' B2 D' U F D F2,2025-01-24 14:46:57 +0000
23.901283979415894,"",R B F2 R2 B2 F2 U' F2 U B2 R' D2 B2 F D U' F L' R2,2025-01-29 11:35:53 +0000
24.934579968452454,"",F R' F B D2 L' U L U2 D2 R B2 R2 B2 U2 R F L D',2025-01-17 18:23:33 +0000
28.179540991783142,"",L D L B2 U R2 D L2 D' B2 U R2 B R' D U' F' D L,2025-01-14 08:02:34 +0000
